run,dhw_lph_per_person,people_m2_per_person,gen_lighting_gain,computer_gain,Gas_MWh,Elec_MWh,Gas_kWh/m2,Elec_kWh/m2,Boilers_MWh,Chillers_MWh,Boilers_kWh/m2,Chillers_kWh/m2,CE_kgCO2/m2,UK_BER_kgCO2/m2,EUI_kWh/m2,Ta_max_degC,Boiler_max_kW,Chiller_max_kW,Interior_lighting_kWh/m2,Exterior_lighting_kWh/m2,Space_heating_(gas)_kWh/m2,Space_heating_(elec)_kWh/m2,Space_cooling_kWh/m2,Pumps_kWh/m2,Fans_interior_kWh/m2,DHW_heating_kWh/m2,Receptacle_equipment_kWh/m2,Elevators_escalators_kWh/m2,Data_center_equipment_kWh/m2,Cooking_(gas)_kWh/m2,Cooking_(elec)_kWh/m2,Refrigeration_kWh/m2,Wind_PV_kWh/m2
0,1.11,20.31,Lighting1,Equipment1,0.0,1672.49,0.0,62.7,324.45,260.72,12.16,9.77,30.4,0.0,58.57,49.16999816894531,55.86,128.07,4.1,0.6,0.0,5.49,11.08,6.56,4.3,12.16,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
1,1.11,20.31,Lighting1,Equipment2,0.0,1598.62,0.0,59.93,324.45,247.27,12.16,9.27,28.96,0.0,55.8,49.06999969482422,55.86,127.21,4.1,0.6,0.0,5.95,10.57,6.54,4.33,12.16,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
2,1.11,20.31,Lighting1,Equipment3,0.0,1747.76,0.0,65.52,324.44,274.76,12.16,10.3,31.86,0.0,61.4,49.2599983215332,55.86,128.8,4.1,0.6,0.0,5.07,11.63,6.57,4.27,12.16,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
3,1.11,20.31,Lighting2,Equipment1,0.0,1649.49,0.0,61.84,324.45,256.26,12.16,9.61,29.95,0.0,57.71,49.130001068115234,55.86,127.58,3.29,0.6,0.0,5.63,10.91,6.55,4.3,12.16,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
4,1.11,20.31,Lighting2,Equipment2,0.0,1576.16,0.0,59.09,324.46,242.96,12.16,9.11,28.53,0.0,54.96,49.029998779296875,55.86,125.48,3.29,0.6,0.0,6.09,10.4,6.54,4.33,12.16,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
5,1.11,20.31,Lighting2,Equipment3,0.0,1724.37,0.0,64.64,324.45,270.15,12.16,10.13,31.41,0.0,60.52,49.22999954223633,55.86,128.42,3.29,0.6,0.0,5.19,11.45,6.57,4.27,12.16,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
6,1.11,20.31,Lighting3,Equipment1,0.0,1695.53,0.0,63.56,324.45,265.15,12.16,9.94,30.85,0.0,59.44,49.20000076293945,55.86,128.55,4.91,0.6,0.0,5.36,11.25,6.56,4.3,12.16,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
7,1.11,20.31,Lighting3,Equipment2,0.0,1621.26,0.0,60.78,324.45,251.6,12.16,9.43,29.4,0.0,56.65,49.099998474121094,55.86,127.88,4.91,0.6,0.0,5.81,10.73,6.55,4.33,12.16,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
8,1.11,20.31,Lighting3,Equipment3,0.0,1771.13,0.0,66.4,324.44,279.26,12.16,10.47,32.32,0.0,62.27,49.290000915527344,55.86,129.11,4.91,0.6,0.0,4.94,11.8,6.58,4.28,12.16,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
9,1.11,14.22,Lighting1,Equipment1,0.0,1826.36,0.0,68.47,463.26,296.12,17.37,11.1,33.39,0.0,64.34,49.439998626708984,79.77,129.63,4.1,0.6,0.0,4.53,12.48,6.59,4.31,17.36,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
10,1.11,14.22,Lighting1,Equipment2,0.0,1749.56,0.0,65.59,463.26,281.7,17.37,10.56,31.9,0.0,61.46,49.34000015258789,79.77,129.59,4.1,0.6,0.0,4.92,11.92,6.58,4.33,17.36,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
11,1.11,14.22,Lighting1,Equipment3,0.0,1904.92,0.0,71.41,463.26,311.03,17.37,11.66,34.92,0.0,67.29,49.540000915527344,79.77,129.45,4.1,0.6,0.0,4.16,13.05,6.61,4.31,17.36,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
