run;dhw_lph_per_person;people_m2_per_person;gen_lighting_gain;computer_gain;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2
0;0.4;8.6;Lighting1;Equipment1;0.0;3378.14;0.0;126.64;171.66;0.01;6.44;0.0;63.59;0.0;126.64;40.599.998.474.121.000;52.25;0.06;7.51;0.6;0.0;12.78;25.56;0.0;12.74;26.01;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
1;0.4;8.6;Lighting1;Equipment2;0.0;3240.81;0.0;121.49;171.66;0.01;6.44;0.0;60.91;0.0;121.49;4.058.000.183.105.460;52.25;0.06;7.51;0.6;0.0;14.68;24.26;0.0;12.82;26.01;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
2;0.4;8.6;Lighting1;Equipment3;0.0;3485.32;0.0;130.66;171.66;0.01;6.44;0.0;65.67;0.0;130.66;4.061.000.061.035.150;52.25;0.06;7.51;0.6;0.0;12.11;26.31;0.0;12.78;26.01;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
3;0.4;8.6;Lighting2;Equipment1;0.0;3351.62;0.0;125.65;171.66;0.01;6.44;0.0;63.07;0.0;125.65;40.599.998.474.121.000;52.25;0.06;6.58;0.6;0.0;13.0;25.30;0.0;12.72;26.01;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
4;0.4;8.6;Lighting2;Equipment2;0.0;3223.05;0.0;120.83;171.66;0.01;6.44;0.0;60.57;0.0;120.83;4.058.000.183.105.460;52.25;0.06;6.58;0.6;0.0;15.11;24.06;0.0;12.86;26.01;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
5;0.4;8.6;Lighting2;Equipment3;0.0;3461.7;0.0;129.77;171.66;0.01;6.44;0.0;65.21;0.0;129.77;4.061.000.061.035.150;52.25;0.06;6.58;0.6;0.0;12.31;26.16;0.0;12.78;26.01;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
6;0.4;8.6;Lighting3;Equipment1;0.0;3432.73;0.0;128.69;171.66;0.01;6.44;0.0;64.65;0.0;128.69;4.061.000.061.035.150;52.25;0.07;9.35;0.6;0.0;12.4;26.06;0.0;12.78;26.01;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
7;0.4;8.6;Lighting3;Equipment2;0.0;3277.66;0.0;122.87;171.66;0.01;6.44;0.0;61.63;0.0;122.87;4.059.000.015.258.780;52.25;0.06;9.35;0.6;0.0;13.89;24.62;0.0;12.77;26.01;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
8;0.4;8.6;Lighting3;Equipment3;0.0;3533.15;0.0;132.45;171.66;0.01;6.44;0.0;66.6;0.0;132.45;40.619.998.931.884.700;52.25;0.07;9.35;0.6;0.0;11.71;26.64;0.0;12.79;26.01;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
9;0.4;17.24;Lighting1;Equipment1;0.0;3054.37;0.0;114.5;85.64;0.0;3.21;0.0;57.29;0.0;114.5;39.349.998.474.121.000;26.07;0.05;7.51;0.6;0.0;17.33;22.16;0.0;12.7;12.97;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
