run,dhw_lph_per_person,people_m2_per_person,gen_lighting_gain,computer_gain,Gas_MWh,Elec_MWh,Gas_kWh/m2,Elec_kWh/m2,Boilers_MWh,Chillers_MWh,Boilers_kWh/m2,Chillers_kWh/m2,CE_kgCO2/m2,UK_BER_kgCO2/m2,EUI_kWh/m2,Ta_max_degC,Boiler_max_kW,Chiller_max_kW,Interior_lighting_kWh/m2,Exterior_lighting_kWh/m2,Space_heating_(gas)_kWh/m2,Space_heating_(elec)_kWh/m2,Space_cooling_kWh/m2,Pumps_kWh/m2,Fans_interior_kWh/m2,DHW_heating_kWh/m2,Receptacle_equipment_kWh/m2,Elevators_escalators_kWh/m2,Data_center_equipment_kWh/m2,Cooking_(gas)_kWh/m2,Cooking_(elec)_kWh/m2,Refrigeration_kWh/m2,Wind_PV_kWh/m2
0,0.4,8.6,Lighting1,Equipment1,0.0,3487.03,0.0,130.72,171.66,0.01,6.44,0.0,64.93,0.0,125.1,40.040000915527344,52.25,0.06,6.4,0.6,0.0,13.08,23.41,0.0,12.61,26.01,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
1,0.4,8.6,Lighting1,Equipment2,0.0,3359.26,0.0,125.93,171.66,0.01,6.44,0.0,62.44,0.0,120.31,40.02000045776367,52.25,0.07,6.4,0.6,0.0,15.22,22.19,0.0,12.74,26.01,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
2,0.4,8.6,Lighting1,Equipment3,0.0,3595.51,0.0,134.79,171.66,0.01,6.44,0.0,67.04,0.0,129.17,40.060001373291016,52.25,0.06,6.4,0.6,0.0,12.37,24.24,0.0,12.67,26.01,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
3,0.4,8.6,Lighting2,Equipment1,0.0,3474.77,0.0,130.26,171.66,0.01,6.44,0.0,64.69,0.0,124.64,40.040000915527344,52.25,0.07,5.95,0.6,0.0,13.2,23.29,0.0,12.61,26.01,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
4,0.4,8.6,Lighting2,Equipment2,0.0,3350.97,0.0,125.62,171.66,0.01,6.44,0.0,62.28,0.0,120.0,40.02000045776367,52.25,0.07,5.95,0.6,0.0,15.44,22.1,0.0,12.76,26.01,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
5,0.4,8.6,Lighting2,Equipment3,0.0,3583.67,0.0,134.35,171.66,0.01,6.44,0.0,66.81,0.0,128.72,40.04999923706055,52.25,0.06,5.95,0.6,0.0,12.46,24.16,0.0,12.67,26.01,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
6,0.4,8.6,Lighting3,Equipment1,0.0,3512.71,0.0,131.69,171.66,0.01,6.44,0.0,65.43,0.0,126.06,40.040000915527344,52.25,0.06,7.3,0.6,0.0,12.86,23.66,0.0,12.63,26.01,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
7,0.4,8.6,Lighting3,Equipment2,0.0,3376.46,0.0,126.58,171.66,0.01,6.44,0.0,62.78,0.0,120.96,40.02000045776367,52.25,0.07,7.3,0.6,0.0,14.8,22.37,0.0,12.7,26.01,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
8,0.4,8.6,Lighting3,Equipment3,0.0,3618.89,0.0,135.67,171.66,0.01,6.44,0.0,67.49,0.0,130.04,40.060001373291016,52.25,0.06,7.3,0.6,0.0,12.18,24.4,0.0,12.67,26.01,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
9,0.4,17.24,Lighting1,Equipment1,0.0,3170.79,0.0,118.87,85.64,0.0,3.21,0.0,58.77,0.0,113.25,38.790000915527344,26.07,0.04,6.4,0.6,0.0,17.77,20.13,0.0,12.6,12.97,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
10,0.4,17.24,Lighting1,Equipment2,0.0,3074.92,0.0,115.27,85.64,0.0,3.21,0.0,56.91,0.0,109.65,38.77000045776367,26.07,0.05,6.4,0.6,0.0,20.58,19.22,0.0,12.93,12.97,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
11,0.4,17.24,Lighting1,Equipment3,0.0,3282.08,0.0,123.04,85.64,0.0,3.21,0.0,60.94,0.0,117.42,38.79999923706055,26.07,0.04,6.4,0.6,0.0,16.8,21.26,0.0,12.7,12.97,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
12,0.4,17.24,Lighting2,Equipment1,0.0,3160.82,0.0,118.49,85.64,0.0,3.21,0.0,58.58,0.0,112.87,38.779998779296875,26.07,0.04,5.95,0.6,0.0,17.95,20.02,0.0,12.61,12.97,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
13,0.4,17.24,Lighting2,Equipment2,0.0,3067.74,0.0,115.0,85.64,0.0,3.21,0.0,56.77,0.0,109.38,38.7599983215332,26.07,0.06,5.95,0.6,0.0,20.82,19.13,0.0,12.96,12.97,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
14,0.4,17.24,Lighting2,Equipment3,0.0,3269.06,0.0,122.55,85.64,0.0,3.21,0.0,60.69,0.0,116.93,38.79999923706055,26.07,0.04,5.95,0.6,0.0,16.9,21.14,0.0,12.69,12.97,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
15,0.4,17.24,Lighting3,Equipment1,0.0,3193.32,0.0,119.71,85.64,0.0,3.21,0.0,59.21,0.0,114.09,38.790000915527344,26.07,0.04,7.3,0.6,0.0,17.45,20.38,0.0,12.6,12.97,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
16,0.4,17.24,Lighting3,Equipment2,0.0,3089.35,0.0,115.81,85.64,0.0,3.21,0.0,57.19,0.0,110.19,38.77000045776367,26.07,0.06,7.3,0.6,0.0,20.09,19.38,0.0,12.87,12.97,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
17,0.4,17.24,Lighting3,Equipment3,0.0,3306.03,0.0,123.94,85.64,0.0,3.21,0.0,61.41,0.0,118.31,38.79999923706055,26.07,0.05,7.3,0.6,0.0,16.59,21.45,0.0,12.71,12.97,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
18,0.4,5.75,Lighting1,Equipment1,0.0,3838.13,0.0,143.89,256.72,0.02,9.62,0.0,71.76,0.0,138.26,41.279998779296875,78.15,0.09,6.4,0.6,0.0,10.03,26.49,0.0,12.67,38.9,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
19,0.4,5.75,Lighting1,Equipment2,0.0,3668.28,0.0,137.52,256.72,0.02,9.62,0.0,68.45,0.0,131.9,41.2599983215332,78.15,0.08,6.4,0.6,0.0,11.14,24.96,0.0,12.58,38.9,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
20,0.4,5.75,Lighting1,Equipment3,0.0,3946.25,0.0,147.94,256.72,0.02,9.62,0.0,73.86,0.0,142.32,41.29999923706055,78.15,0.09,6.4,0.6,0.0,9.51,27.14,0.0,12.71,38.9,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
21,0.4,5.75,Lighting2,Equipment1,0.0,3825.63,0.0,143.42,256.72,0.02,9.62,0.0,71.51,0.0,137.79,41.279998779296875,78.15,0.09,5.95,0.6,0.0,10.1,26.4,0.0,12.67,38.9,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
22,0.4,5.75,Lighting2,Equipment2,0.0,3657.43,0.0,137.11,256.72,0.02,9.62,0.0,68.24,0.0,131.49,41.2599983215332,78.15,0.08,5.95,0.6,0.0,11.28,24.86,0.0,12.58,38.9,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
23,0.4,5.75,Lighting2,Equipment3,0.0,3933.46,0.0,147.46,256.72,0.02,9.62,0.0,73.61,0.0,141.84,41.29999923706055,78.15,0.09,5.95,0.6,0.0,9.58,27.05,0.0,12.7,38.9,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
24,0.4,5.75,Lighting3,Equipment1,0.0,3863.56,0.0,144.84,256.72,0.02,9.62,0.0,72.25,0.0,139.22,41.290000915527344,78.15,0.09,7.3,0.6,0.0,9.88,26.66,0.0,12.68,38.9,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
25,0.4,5.75,Lighting3,Equipment2,0.0,3691.9,0.0,138.4,256.72,0.02,9.62,0.0,68.91,0.0,132.78,41.2599983215332,78.15,0.08,7.3,0.6,0.0,10.87,25.19,0.0,12.58,38.9,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
26,0.4,5.75,Lighting3,Equipment3,0.0,3972.1,0.0,148.91,256.72,0.02,9.62,0.0,74.36,0.0,143.28,41.29999923706055,78.15,0.09,7.3,0.6,0.0,9.37,27.32,0.0,12.73,38.9,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
27,0.7,8.6,Lighting1,Equipment1,0.0,4007.47,0.0,150.23,300.4,0.01,11.26,0.0,75.05,0.0,144.61,40.040000915527344,91.45,0.06,6.4,0.6,0.0,13.08,23.41,0.0,12.61,45.53,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
28,0.7,8.6,Lighting1,Equipment2,0.0,3879.71,0.0,145.44,300.4,0.01,11.26,0.0,72.57,0.0,139.82,40.02000045776367,91.45,0.07,6.4,0.6,0.0,15.22,22.19,0.0,12.74,45.53,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
29,0.7,8.6,Lighting1,Equipment3,0.0,4115.96,0.0,154.3,300.4,0.01,11.26,0.0,77.16,0.0,148.68,40.060001373291016,91.45,0.06,6.4,0.6,0.0,12.37,24.24,0.0,12.67,45.53,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
30,0.7,8.6,Lighting2,Equipment1,0.0,3995.21,0.0,149.77,300.4,0.01,11.26,0.0,74.81,0.0,144.15,40.040000915527344,91.45,0.07,5.95,0.6,0.0,13.2,23.29,0.0,12.61,45.53,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
31,0.7,8.6,Lighting2,Equipment2,0.0,3871.42,0.0,145.13,300.4,0.01,11.26,0.0,72.41,0.0,139.51,40.02000045776367,91.45,0.07,5.95,0.6,0.0,15.44,22.1,0.0,12.76,45.53,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
32,0.7,8.6,Lighting2,Equipment3,0.0,4104.12,0.0,153.86,300.4,0.01,11.26,0.0,76.93,0.0,148.23,40.04999923706055,91.45,0.06,5.95,0.6,0.0,12.46,24.16,0.0,12.67,45.53,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
33,0.7,8.6,Lighting3,Equipment1,0.0,4033.16,0.0,151.2,300.4,0.01,11.26,0.0,75.55,0.0,145.57,40.040000915527344,91.45,0.06,7.3,0.6,0.0,12.86,23.66,0.0,12.63,45.53,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
34,0.7,8.6,Lighting3,Equipment2,0.0,3896.9,0.0,146.09,300.4,0.01,11.26,0.0,72.9,0.0,140.47,40.02000045776367,91.45,0.07,7.3,0.6,0.0,14.8,22.37,0.0,12.7,45.53,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
35,0.7,8.6,Lighting3,Equipment3,0.0,4139.34,0.0,155.18,300.4,0.01,11.26,0.0,77.62,0.0,149.55,40.060001373291016,91.45,0.06,7.3,0.6,0.0,12.18,24.4,0.0,12.67,45.53,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
36,0.7,17.24,Lighting1,Equipment1,0.0,3430.36,0.0,128.6,149.87,0.0,5.62,0.0,63.82,0.0,122.98,38.790000915527344,45.62,0.04,6.4,0.6,0.0,17.77,20.13,0.0,12.6,22.7,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
37,0.7,17.24,Lighting1,Equipment2,0.0,3334.48,0.0,125.0,149.87,0.0,5.62,0.0,61.96,0.0,119.38,38.77000045776367,45.62,0.05,6.4,0.6,0.0,20.58,19.22,0.0,12.93,22.7,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
38,0.7,17.24,Lighting1,Equipment3,0.0,3541.64,0.0,132.77,149.87,0.0,5.62,0.0,65.99,0.0,127.15,38.79999923706055,45.62,0.04,6.4,0.6,0.0,16.8,21.26,0.0,12.7,22.7,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
39,0.7,17.24,Lighting2,Equipment1,0.0,3420.39,0.0,128.22,149.87,0.0,5.62,0.0,63.63,0.0,122.6,38.779998779296875,45.62,0.04,5.95,0.6,0.0,17.95,20.02,0.0,12.61,22.7,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
40,0.7,17.24,Lighting2,Equipment2,0.0,3327.31,0.0,124.74,149.87,0.0,5.62,0.0,61.82,0.0,119.11,38.7599983215332,45.62,0.06,5.95,0.6,0.0,20.82,19.13,0.0,12.96,22.7,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
41,0.7,17.24,Lighting2,Equipment3,0.0,3528.63,0.0,132.28,149.87,0.0,5.62,0.0,65.74,0.0,126.66,38.79999923706055,45.62,0.04,5.95,0.6,0.0,16.9,21.14,0.0,12.69,22.7,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
42,0.7,17.24,Lighting3,Equipment1,0.0,3452.89,0.0,129.44,149.87,0.0,5.62,0.0,64.26,0.0,123.82,38.790000915527344,45.62,0.04,7.3,0.6,0.0,17.45,20.38,0.0,12.6,22.7,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
43,0.7,17.24,Lighting3,Equipment2,0.0,3348.92,0.0,125.55,149.87,0.0,5.62,0.0,62.24,0.0,119.92,38.77000045776367,45.62,0.06,7.3,0.6,0.0,20.09,19.38,0.0,12.87,22.7,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
44,0.7,17.24,Lighting3,Equipment3,0.0,3565.59,0.0,133.67,149.87,0.0,5.62,0.0,66.46,0.0,128.05,38.79999923706055,45.62,0.05,7.3,0.6,0.0,16.59,21.45,0.0,12.71,22.7,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
45,0.7,5.75,Lighting1,Equipment1,0.0,4616.43,0.0,173.06,449.26,0.02,16.84,0.0,86.9,0.0,167.44,41.279998779296875,136.76,0.09,6.4,0.6,0.0,10.03,26.49,0.0,12.67,68.08,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
46,0.7,5.75,Lighting1,Equipment2,0.0,4446.58,0.0,166.7,449.26,0.02,16.84,0.0,83.6,0.0,161.07,41.2599983215332,136.76,0.08,6.4,0.6,0.0,11.14,24.96,0.0,12.58,68.08,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
47,0.7,5.75,Lighting1,Equipment3,0.0,4724.55,0.0,177.12,449.26,0.02,16.84,0.0,89.0,0.0,171.49,41.29999923706055,136.76,0.09,6.4,0.6,0.0,9.51,27.14,0.0,12.71,68.08,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
48,0.7,5.75,Lighting2,Equipment1,0.0,4603.92,0.0,172.59,449.26,0.02,16.84,0.0,86.66,0.0,166.97,41.279998779296875,136.76,0.09,5.95,0.6,0.0,10.1,26.4,0.0,12.67,68.08,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
49,0.7,5.75,Lighting2,Equipment2,0.0,4435.72,0.0,166.29,449.26,0.02,16.84,0.0,83.39,0.0,160.67,41.2599983215332,136.76,0.08,5.95,0.6,0.0,11.28,24.86,0.0,12.58,68.08,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
50,0.7,5.75,Lighting2,Equipment3,0.0,4711.76,0.0,176.64,449.26,0.02,16.84,0.0,88.76,0.0,171.01,41.29999923706055,136.76,0.09,5.95,0.6,0.0,9.58,27.05,0.0,12.7,68.08,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
51,0.7,5.75,Lighting3,Equipment1,0.0,4641.85,0.0,174.02,449.26,0.02,16.84,0.0,87.4,0.0,168.39,41.290000915527344,136.76,0.09,7.3,0.6,0.0,9.88,26.66,0.0,12.68,68.08,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
52,0.7,5.75,Lighting3,Equipment2,0.0,4470.19,0.0,167.58,449.26,0.02,16.84,0.0,84.06,0.0,161.96,41.2599983215332,136.76,0.08,7.3,0.6,0.0,10.87,25.19,0.0,12.58,68.08,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
53,0.7,5.75,Lighting3,Equipment3,0.0,4750.4,0.0,178.08,449.26,0.02,16.84,0.0,89.51,0.0,172.46,41.29999923706055,136.76,0.09,7.3,0.6,0.0,9.37,27.32,0.0,12.73,68.08,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
54,0.2,8.6,Lighting1,Equipment1,0.0,3140.06,0.0,117.72,85.83,0.01,3.22,0.0,58.18,0.0,112.09,40.040000915527344,26.13,0.06,6.4,0.6,0.0,13.08,23.41,0.0,12.61,13.01,27.46,11.82,0.0,0.0,0.0,2.57,-5.62
55,0.2,8.6,Lighting1,Equipment2,0.0,3012.3,0.0,112.93,85.83,0.01,3.22,0.0,55.69,0.0,107.3,40.02000045776367,26.13,0.07,6.4,0.6,0.0,15.22,22.19,0.0,12.74,13.01,21.7,11.82,0.0,0.0,0.0,2.57,-5.62
56,0.2,8.6,Lighting1,Equipment3,0.0,3248.55,0.0,121.78,85.83,0.01,3.22,0.0,60.29,0.0,116.16,40.060001373291016,26.13,0.06,6.4,0.6,0.0,12.37,24.24,0.0,12.67,13.01,31.3,11.82,0.0,0.0,0.0,2.57,-5.62
