run;dhw_lph_per_person;people_m2_per_person;gen_lighting_gain;computer_gain;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1.11;20.31;2.32;20;;;0.0;93.2;482.1;387.4;18.1;14.5;45.2;0.0;87.0;73.1;83.0;190.3;6.1;0.9;0.0;8.2;16.5;9.7;6.4;18.1;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.11;20.31;2.32;14;;;0.0;89.0;482.1;367.4;18.1;13.8;43.0;0.0;82.9;72.9;83.0;189.0;6.1;0.9;0.0;8.8;15.7;9.7;6.4;18.1;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1.11;20.31;2.32;26;;;0.0;97.3;482.0;408.2;18.1;15.3;47.3;0.0;91.2;73.2;83.0;191.4;6.1;0.9;0.0;7.5;17.3;9.8;6.3;18.1;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1.11;20.31;1.62;20;;;0.0;91.9;482.1;380.7;18.1;14.3;44.5;0.0;85.7;73.0;83.0;189.6;4.9;0.9;0.0;8.4;16.2;9.7;6.4;18.1;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1.11;20.31;1.62;14;;;0.0;87.8;482.1;361.0;18.1;13.5;42.4;0.0;81.7;72.8;83.0;186.4;4.9;0.9;0.0;9.0;15.5;9.7;6.4;18.1;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1.11;20.31;1.62;26;;;0.0;96.0;482.1;401.4;18.1;15.1;46.7;0.0;89.9;73.1;83.0;190.8;4.9;0.9;0.0;7.7;17.0;9.8;6.3;18.1;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1.11;20.31;3.02;20;;;0.0;94.4;482.1;393.9;18.1;14.8;45.8;0.0;88.3;73.1;83.0;191.0;7.3;0.9;0.0;8.0;16.7;9.7;6.4;18.1;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1.11;20.31;3.02;14;;;0.0;90.3;482.1;373.8;18.1;14.0;43.7;0.0;84.2;73.0;83.0;190.0;7.3;0.9;0.0;8.6;15.9;9.7;6.4;18.1;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1.11;20.31;3.02;26;;;0.0;98.7;482.0;414.9;18.1;15.6;48.0;0.0;92.5;73.2;83.0;191.8;7.3;0.9;0.0;7.3;17.5;9.8;6.4;18.1;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1.11;14.22;2.32;20;;;0.0;101.7;688.3;440.0;25.8;16.5;49.6;0.0;95.6;73.5;118.5;192.6;6.1;0.9;0.0;6.7;18.5;9.8;6.4;25.8;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1.11;14.22;2.32;14;;;0.0;97.5;688.3;418.5;25.8;15.7;47.4;0.0;91.3;73.3;118.5;192.5;6.1;0.9;0.0;7.3;17.7;9.8;6.4;25.8;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1.11;14.22;2.32;26;;;0.0;106.1;688.3;462.1;25.8;17.3;51.9;0.0;100.0;73.6;118.5;192.3;6.1;0.9;0.0;6.2;19.4;9.8;6.4;25.8;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1.11;14.22;1.62;20;;;0.0;100.4;688.3;433.1;25.8;16.2;48.9;0.0;94.3;73.4;118.5;192.5;4.9;0.9;0.0;6.9;18.3;9.8;6.4;25.8;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1.11;14.22;1.62;14;;;0.0;96.1;688.3;411.6;25.8;15.4;46.7;0.0;90.0;73.3;118.5;192.6;4.9;0.9;0.0;7.5;17.4;9.8;6.4;25.8;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
