run;computer_gain;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2
0;Equipment1;0;1672.49;0;62.7;324.45;260.72;12.16;9.77;30.4;0;58.57;49.16999817;55.86;128.07;4.1;0.6;0;5.49;11.08;6.56;4.3;12.16;11.28;1.79;1.66;0;0;2.57;-4.13
1;Equipment2;0;1598.62;0;59.93;324.45;247.27;12.16;9.27;28.96;0;55.8;49.06999969;55.86;127.21;4.1;0.6;0;5.95;10.57;6.54;4.33;12.16;8.6;1.79;1.66;0;0;2.57;-4.13
2;Equipment3;0;1747.76;0;65.52;324.44;274.76;12.16;10.3;31.86;0;61.4;49.25999832;55.86;128.8;4.1;0.6;0;5.07;11.63;6.57;4.27;12.16;13.96;1.79;1.66;0;0;2.57;-4.13
0;Equipment1;;;;93.2;482.1;387.4;18.1;14.5;45.2;0.0;87.0;73.1;83.0;190.3;6.1;0.9;0.0;8.2;16.5;9.7;6.4;18.1;16.8;2.7;2.5;0.0;0.0;3.8;-6.1
1;Equipment2;;;;89.0;482.1;367.4;18.1;13.8;43.0;0.0;82.9;72.9;83.0;189.0;6.1;0.9;0.0;8.8;15.7;9.7;6.4;18.1;12.8;2.7;2.5;0.0;0.0;3.8;-6.1
2;Equipment3;;;;97.3;482.0;408.2;18.1;15.3;47.3;0.0;91.2;73.2;83.0;191.4;6.1;0.9;0.0;7.5;17.3;9.8;6.3;18.1;20.7;2.7;2.5;0.0;0.0;3.8;-6.1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26674.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17953.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
